STR_WARDS,PERSONS,WHITE,BLACK,HISPANIC,ASIAN,AMINDIAN,PISLAND,OTHER
0001,2661,2453,57,90,31,17,12,1
0002,2695,2384,64,180,43,21,1,1
0003,2887,2339,175,249,87,28,0,2
0004,2790,2096,232,297,128,19,1,7
0005,2129,1996,63,54,9,6,1,0
0006,1832,1632,29,123,23,17,1,5
0007,2900,2698,55,89,36,12,5,3
0008,2700,2246,148,250,35,10,5,2
0009,1875,1755,32,63,22,2,0,0
0010,1992,1656,73,211,31,16,3,1
0011,2913,2516,85,252,25,27,0,6
0012,2790,2632,41,90,15,9,2,0
0013,2864,2513,118,160,39,15,6,2
0014,2812,2584,49,131,22,20,0,4
0015,2597,2289,112,139,19,26,4,2
0016,2424,1984,244,120,55,13,2,6
0017,2721,2508,34,135,31,8,0,1
0018,2845,2473,115,165,66,15,1,1
0019,576,545,6,16,7,1,0,0
0020,817,738,18,20,36,0,0,5
0021,2042,1881,23,48,80,9,0,0
0022,2226,2126,20,41,31,6,2,0
0023,1095,1026,16,35,15,2,0,0
0024,2388,1889,151,246,74,16,0,2
0025,2212,2059,34,82,26,8,1,1
0027,2951,2779,68,65,32,3,1,2
0028,2751,2585,64,69,26,4,3,0
